Pays;Distance (km)
Afghanistan;5573
Afrique du Sud;8789
Albanie;1546
Algérie;2024
Allemagne;816
Andorre;417
Angola;6575
Anguilla;6668
Antigua-et-Barbuda;6659
Antilles néerlandaises (ex);7574
Arabie saoudite;4546
Argentine;11465
Arménie;3497
Aruba;7639
Australie;15159
Autriche;948
Azerbaïdjan;3688
Bahamas;7256
Bahreïn;4791
Bangladesh;7995
Barbade;6788
Bélarus;2006
Belgique;504
Belize;8691
Bénin;4105
Bermudes;5790
Bhoutan;7707
Bolivie (État plurinational de);9564
Bonaire, Saint-Eustache et Saba;6712
Bosnie-Herzégovine;1239
Botswana;7952
Brésil;8625
Brunéi Darussalam;11336
Bulgarie;1880
Burkina Faso;3796
Burundi;6152
Cabo Verde;4210
Cambodge;9958
Cameroun;4429
Canada;6841
Chili;11709
Chine, continentale;8022
Chypre;2883
Colombie;8605
Comores;7629
Congo;5912
Costa Rica;8918
Côte d'Ivoire;4366
Croatie;1016
Cuba;7547
Curaçao;7592
Danemark;1224
Djibouti;5383
Dominique;6755
Égypte;3312
El Salvador;8984
Émirats arabes unis;5234
Équateur;9419
Érythrée;4902
Espagne;804
Estonie;2051
Eswatini;8835
États-Unis d'Amérique;7666
Éthiopie;5492
Fédération de Russie;6221
Fidji;16821
Finlande;2298
France;0
Gabon;5310
Gambie;3998
Géorgie;3267
Ghana;4268
Gibraltar;1287
Grèce;1784
Grenade;7039
Groenland;3656
Guadeloupe;6702
Guam;12398
Guatemala;8932
Guinée;4190
Guinée équatoriale;5018
Guinée-Bissau;4164
Guyana;7428
Guyane française;7090
Haïti;7319
Honduras;8677
Chine - RAS de Hong-Kong;9774
Hongrie;1320
Île de Man;1011
Îles Caïmanes;7979
Îles Cook;16793
Îles Falkland (Malvinas);12387
Îles Féroé;1837
Îles Mariannes du Nord;12276
Îles Marshall;13367
Îles Salomon;15440
Îles Vierges américaines;6799
Îles Vierges britanniques;6773
Îles Wallis-et-Futuna;16464
Inde;7369
Indonésie;11722
Iran (République islamique d');4596
Iraq;3778
Irlande;1094
Islande;2447
Israël;3265
Italie;958
Jamaïque;7769
Japon;9850
Jordanie;3399
Kazakhstan;4752
Kenya;6209
Kirghizistan;5651
Kiribati;14304
Koweït;4327
Lesotho;8830
Lettonie;1934
Liban;3146
Libéria;4564
Libye;2579
Liechtenstein;569
Lituanie;1810
Luxembourg;494
Chine - RAS de Macao;9754
Macédoine du Nord;1642
Madagascar;8505
Malaisie;10415
Malawi;7351
Maldives;8422
Mali;3238
Malte;1529
Maroc;1792
Martinique;6789
Mauritanie;3048
Mayotte;7842
Mexique;9190
Micronésie (États fédérés de);13648
Monaco;494
Mongolie;7165
Monténégro;1414
Montserrat;6714
Mozambique;7955
Myanmar;8545
Namibie;7866
Nauru;14719
Népal;7183
Nicaragua;8782
Niger;3228
Nigéria;4176
Norvège;1636
Nouvelle-Calédonie;16822
Nouvelle-Zélande;19179
Oman;5535
Ouganda;5781
Pakistan;5931
Palaos;12407
Palestine;3234
Panama;8786
Papouasie-Nouvelle-Guinée;14263
Paraguay;9856
Pays-Bas;693
Pérou;9780
Philippines;11107
Pologne;1382
Polynésie française;15907
Porto Rico;6938
Portugal;1139
Qatar;4890
République centrafricaine;4757
République de Corée;9384
République démocratique du Congo;5334
République démocratique populaire lao;9183
République dominicaine;7174
République populaire démocratique de Corée;8966
Tchéquie;1062
Réunion;9207
Roumanie;1749
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord;1091
Rwanda;6003
Saint-Martin (partie française);6677
Saint-Barthélemy;6674
Saint-Marin;843
Saint-Pierre-et-Miquelon;4369
Saint-Vincent-et-les Grenadines;6912
Sainte-Hélène, Ascension et Tristan da Cunha;6961
Sainte-Lucie;6844
République de Moldova;2500
Samoa;16366
Sao Tomé-et-Principe;5138
Sénégal;3856
Serbie;1491
Seychelles;7707
Sierra Leone;4406
Singapour;10787
Slovaquie;1339
Slovénie;983
Somalie;6216
Soudan;4544
Soudan du Sud;5186
Sri Lanka;8497
Suède;1883
Suisse;465
Suriname;7298
République arabe syrienne;3322
Tadjikistan;5537
République-Unie de Tanzanie;6682
Tchad;3750
Thaïlande;9396
Timor-Leste;13261
Togo;4184
Tonga;17220
Trinité-et-Tobago;7119
Tunisie;1506
Turkménistan;4659
Turquie;2799
Tuvalu;15693
Ukraine;2183
Uruguay;10511
Ouzbékistan;4904
Vanuatu;16303
Saint-Siège;948
Venezuela (République bolivarienne du);7869
Viet Nam;10073
Yémen;5466
Zambie;7081
Zimbabwe;7744
Chine, Taiwan Province de;10103
Maurice;9249
Saint-Kitts-et-Nevis;6692
Sint Maarten (partie néerlandaise);6662
Soudan (ex);4226
Îles Turques-et-Caïques;7042
Nioué;16925
Sahara occidental;2764
Samoa américaines;16423
Tokélaou;15877
Îles Anglo-Normandes;472
